variable,x,y
DEMFINAL,1870.3776000000003,0.15054796636104584
DEMFINAL,1882.7280000000005,0.14504414796829224
DEMFINAL,1895.0784000000003,0.13971278071403503
DEMFINAL,1907.4288000000006,0.1345500946044922
DEMFINAL,1919.7792000000004,0.12955249845981598
DEMFINAL,1932.1296000000002,0.1247161403298378
DEMFINAL,1944.4800000000005,0.12003736197948456
DEMFINAL,1956.8304000000003,0.11551231145858765
DEMFINAL,1969.1808000000005,0.11113731563091278
DEMFINAL,1981.5312000000004,0.10690853744745255
DEMFINAL,1993.8816000000002,0.10282231867313385
DEMFINAL,2006.2320000000004,0.09887485206127167
DEMFINAL,2018.5824000000007,0.09506253153085709
DEMFINAL,2030.9328000000005,0.09138165414333344
DEMFINAL,2043.2832000000003,0.08782856911420822
DEMFINAL,2055.6336,0.0843997672200203
DEMFINAL,2067.9840000000004,0.08109166473150253
DEMFINAL,2080.3344000000006,0.0779007226228714
DEMFINAL,2092.6848000000005,0.07482363283634186
DEMFINAL,2105.0352000000003,0.07185695320367813
DEMFINAL,2117.3856,0.06899736821651459
DEMFINAL,2129.7360000000003,0.0662415474653244
DEMFINAL,2142.0864000000006,0.06358641386032104
DEMFINAL,2154.4368000000004,0.061028774827718735
DEMFINAL,2166.7872,0.05856554955244064
DEMFINAL,2179.1376,0.056193698197603226
DEMFINAL,2191.4880000000007,0.05391036346554756
DEMFINAL,2203.8384000000005,0.051712628453969955
DEMFINAL,2216.1888000000004,0.049597688019275665
DEMFINAL,2228.5392,0.04756276682019234
DEMFINAL,2240.8896000000004,0.04560526832938194
DEMFINAL,2253.2400000000007,0.04372255131602287
DEMFINAL,2265.5904000000005,0.041912078857421875
DEMFINAL,2277.9408000000003,0.04017134755849838
DEMFINAL,2290.2912,0.03849802538752556
DEMFINAL,2302.641600000001,0.036889735609292984
DEMFINAL,2314.9920000000006,0.035344209522008896
DEMFINAL,2327.3424000000005,0.033859241753816605
DEMFINAL,2339.6928000000003,0.03243265673518181
DEMFINAL,2352.0432,0.031062426045536995
DEMFINAL,2364.393600000001,0.029746508225798607
DEMFINAL,2376.7440000000006,0.028482938185334206
DEMFINAL,2389.0944000000004,0.027269797399640083
DEMFINAL,2401.4448,0.026105288416147232
DEMFINAL,2413.7952000000005,0.024987604469060898
DEMFINAL,2426.1456000000007,0.023915017023682594
DEMFINAL,2438.4960000000005,0.02288583293557167
DEMFINAL,2450.8464000000004,0.021898476406931877
DEMFINAL,2463.1968,0.02095135673880577
DEMFINAL,2475.5472000000004,0.020042959600687027
DEMFINAL,2487.8976000000007,0.019171806052327156
DEMFINAL,2500.2480000000005,0.01833651028573513
DEMFINAL,2512.5984000000003,0.017535686492919922
DEMFINAL,2524.9488000000006,0.016768014058470726
DEMFINAL,2537.2992000000004,0.016032202169299126
DEMFINAL,2549.6496000000006,0.015327044762670994
DEMFINAL,2562.0000000000005,0.014651338569819927
DEMFINAL,2574.3504000000003,0.01400393433868885
DEMFINAL,2586.7008000000005,0.013383722864091396
DEMFINAL,2599.0512000000003,0.012789624743163586
DEMFINAL,2611.4016000000006,0.012220632284879684
DEMFINAL,2623.7520000000004,0.011675738729536533
DEMFINAL,2636.1024000000007,0.011153986677527428
DEMFINAL,2648.4528000000005,0.010654442943632603
DEMFINAL,2660.8032000000003,0.010176236741244793
DEMFINAL,2673.1536000000006,0.00971850287169218
DEMFINAL,2685.5040000000004,0.009280413389205933
DEMFINAL,2697.8544000000006,0.00886116735637188
DEMFINAL,2710.2048000000004,0.008460014127194881
DEMFINAL,2722.5552000000002,0.008076210506260395
DEMFINAL,2734.9056000000005,0.007709047291427851
DEMFINAL,2747.2560000000008,0.007357834838330746
DEMFINAL,2759.6064000000006,0.00702193146571517
DEMFINAL,2771.9568000000004,0.006700698286294937
DEMFINAL,2784.3072,0.00639352947473526
DEMFINAL,2796.6576000000005,0.006099834572523832
DEMFINAL,2809.0080000000007,0.0058190650306642056
DEMFINAL,2821.3584000000005,0.005550675559788942
DEMFINAL,2833.7088000000003,0.005294147413223982
